origin,destination,fare,f
Mundalama,Vennappuwa,360.0,"[:Fare {fare: 360.0, route_id: route_cb15d6ac_109_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Mundalama,Vennappuwa,360.0,"[:Fare {fare: 360.0, route_id: route_db78ea66_304_1767932356, route_type: Normal Route, fare_type: AC}]"
Mundalama,Panadura,780.0,"[:Fare {fare: 780.0, route_id: route_db78ea66_339_1767932356, route_type: Normal Route, fare_type: AC}]"
Mundalama,Marawila,315.0,"[:Fare {fare: 315.0, route_id: route_db78ea66_243_1767932356, route_type: Normal Route, fare_type: AC}]"
Mundalama,Marawila,315.0,"[:Fare {fare: 315.0, route_id: route_cb15d6ac_110_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Mundalama,Chilaw,225.0,"[:Fare {fare: 225.0, route_id: route_db78ea66_60_1767932356, route_type: Normal Route, fare_type: AC}]"
Mundalama,Ja Ela,550.0,"[:Fare {fare: 550.0, route_id: route_db78ea66_240_1767932356, route_type: Normal Route, fare_type: AC}]"
Mundalama,Ja Ela,550.0,"[:Fare {fare: 550.0, route_id: route_db78ea66_267_1767932356, route_type: Normal Route, fare_type: AC}]"
Mundalama,Wattala,600.0,"[:Fare {fare: 600.0, route_id: route_db78ea66_301_1767932356, route_type: Normal Route, fare_type: AC}]"
Mundalama,Negambo,460.0,"[:Fare {fare: 460.0, route_id: route_db78ea66_134_1767932356, route_type: Normal Route, fare_type: AC}]"
Mundalama,Katunayake,490.0,"[:Fare {fare: 490.0, route_id: route_cb15d6ac_7_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Mundalama,Thelwatta,460.0,"[:Fare {fare: 460.0, route_id: route_db78ea66_59_1767932356, route_type: Normal Route, fare_type: AC}]"
Mundalama,Thelwatta,460.0,"[:Fare {fare: 460.0, route_id: route_cb15d6ac_8_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Mundalama,Narahenpita,660.0,"[:Fare {fare: 660.0, route_id: route_db78ea66_341_1767932356, route_type: Normal Route, fare_type: AC}]"
Mundalama,Moratuwa,745.0,"[:Fare {fare: 745.0, route_id: route_db78ea66_233_1767932356, route_type: Normal Route, fare_type: AC}]"
Mundalama,Dehiwala,690.0,"[:Fare {fare: 690.0, route_id: route_db78ea66_340_1767932356, route_type: Normal Route, fare_type: AC}]"
Mundalama,18 Kanuwa,490.0,"[:Fare {fare: 490.0, route_id: route_db78ea66_342_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Mundalama,490.0,"[:Fare {fare: 490.0, route_id: route_cb15d6ac_19_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Nochchiyagama,Mundalama,490.0,"[:Fare {fare: 490.0, route_id: route_db78ea66_186_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Vennappuwa,765.0,"[:Fare {fare: 765.0, route_id: route_cb15d6ac_130_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Nochchiyagama,Vennappuwa,765.0,"[:Fare {fare: 765.0, route_id: route_db78ea66_263_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Madurankuliya,425.0,"[:Fare {fare: 425.0, route_id: route_cb15d6ac_134_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Nochchiyagama,Madurankuliya,425.0,"[:Fare {fare: 425.0, route_id: route_db78ea66_267_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Kalaoya,165.0,"[:Fare {fare: 165.0, route_id: route_db78ea66_327_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Kalaoya,165.0,"[:Fare {fare: 165.0, route_id: route_cb15d6ac_260_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Nochchiyagama,Panadura,1180.0,"[:Fare {fare: 1180.0, route_id: route_db78ea66_373_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Marawila,725.0,"[:Fare {fare: 725.0, route_id: route_db78ea66_264_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Marawila,725.0,"[:Fare {fare: 725.0, route_id: route_cb15d6ac_131_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Nochchiyagama,Chilaw,635.0,"[:Fare {fare: 635.0, route_id: route_db78ea66_67_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Ja Ela,950.0,"[:Fare {fare: 950.0, route_id: route_db78ea66_261_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Negambo,865.0,"[:Fare {fare: 865.0, route_id: route_db78ea66_139_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Katunayake,900.0,"[:Fare {fare: 900.0, route_id: route_cb15d6ac_16_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Nochchiyagama,Thelwatta,865.0,"[:Fare {fare: 865.0, route_id: route_db78ea66_66_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Thelwatta,865.0,"[:Fare {fare: 865.0, route_id: route_cb15d6ac_17_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Nochchiyagama,Puttalam,345.0,"[:Fare {fare: 345.0, route_id: route_db78ea66_69_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Norochchole,480.0,"[:Fare {fare: 480.0, route_id: route_db78ea66_4_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Kalpitiya,615.0,"[:Fare {fare: 615.0, route_id: route_db78ea66_3_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Palawiya,380.0,"[:Fare {fare: 380.0, route_id: route_db78ea66_5_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Narahenpita,1060.0,"[:Fare {fare: 1060.0, route_id: route_db78ea66_375_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Moratuwa,1150.0,"[:Fare {fare: 1150.0, route_id: route_db78ea66_263_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Dehiwala,1100.0,"[:Fare {fare: 1100.0, route_id: route_db78ea66_374_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,18 Kanuwa,900.0,"[:Fare {fare: 900.0, route_id: route_db78ea66_376_1767932356, route_type: Normal Route, fare_type: AC}]"
Nochchiyagama,Karuwalagaswawe,270.0,"[:Fare {fare: 270.0, route_id: route_db78ea66_382_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Mundalama,620.0,"[:Fare {fare: 620.0, route_id: route_cb15d6ac_25_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Anuradhapura,Mundalama,620.0,"[:Fare {fare: 620.0, route_id: route_db78ea66_73_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Mundalama,615.0,"[:Fare {fare: 615.0, route_id: route_db78ea66_145_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Nochchiyagama,210.0,"[:Fare {fare: 210.0, route_id: route_cb15d6ac_27_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Anuradhapura,Nochchiyagama,210.0,"[:Fare {fare: 210.0, route_id: route_db78ea66_75_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Nochchiyagama,200.0,"[:Fare {fare: 200.0, route_id: route_db78ea66_147_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Vennappuwa,900.0,"[:Fare {fare: 900.0, route_id: route_cb15d6ac_139_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Anuradhapura,Vennappuwa,900.0,"[:Fare {fare: 900.0, route_id: route_db78ea66_272_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Vennappuwa,940.0,"[:Fare {fare: 940.0, route_id: route_db78ea66_464_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Madurankuliya,555.0,"[:Fare {fare: 555.0, route_id: route_cb15d6ac_143_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Anuradhapura,Madurankuliya,555.0,"[:Fare {fare: 555.0, route_id: route_db78ea66_276_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Pallama,700.0,"[:Fare {fare: 700.0, route_id: route_db78ea66_467_1767932356, route_type: Normal Route, fare_type: AC}]"
Anuradhapura,Adigama,635.0,"[:Fare {fare: 635.0, route_id: route_db78ea66_468_1767932356, route_type: Normal Route, fare_type: AC}]"
