origin,destination,departure_time,arrival_time,fare,s,f
Colombo,Kandy,06:00,09:30,250.0,"[:Schedule {trip_id: T001, route_id: C001, arrival: 09:30, departure: 06:00}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,06:00,09:30,250.0,"[:Schedule {trip_id: T001, route_id: C001, arrival: 09:30, departure: 06:00}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,08:00,11:30,250.0,"[:Schedule {trip_id: T002, route_id: C001, arrival: 11:30, departure: 08:00}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,08:00,11:30,250.0,"[:Schedule {trip_id: T002, route_id: C001, arrival: 11:30, departure: 08:00}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,14:00,17:30,250.0,"[:Schedule {trip_id: T003, route_id: C001, arrival: 17:30, departure: 14:00}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,14:00,17:30,250.0,"[:Schedule {trip_id: T003, route_id: C001, arrival: 17:30, departure: 14:00}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,06:00,09:30,250.0,"[:Schedule {trip_id: T001, route_id: C001, arrival: 09:30, departure: 06:00}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,06:00,09:30,250.0,"[:Schedule {trip_id: T001, route_id: C001, arrival: 09:30, departure: 06:00}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,08:00,11:30,250.0,"[:Schedule {trip_id: T002, route_id: C001, arrival: 11:30, departure: 08:00}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,08:00,11:30,250.0,"[:Schedule {trip_id: T002, route_id: C001, arrival: 11:30, departure: 08:00}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,14:00,17:30,250.0,"[:Schedule {trip_id: T003, route_id: C001, arrival: 17:30, departure: 14:00}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,14:00,17:30,250.0,"[:Schedule {trip_id: T003, route_id: C001, arrival: 17:30, departure: 14:00}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,3:45,7:45,250.0,"[:Schedule {service_type: Luxury, arrival: 7:45, route_no: 01, route_type: Normal Route, arrival_to_terminal: 3:00, Runing Days: Odd Days, departure: 3:45, fare_type: AC, Source: 01 Kandy - Colombo Panal -OddDays_extracted_tables_english new.pdf}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,3:45,7:45,250.0,"[:Schedule {service_type: Luxury, arrival: 7:45, route_no: 01, route_type: Normal Route, arrival_to_terminal: 3:00, Runing Days: Odd Days, departure: 3:45, fare_type: AC, Source: 01 Kandy - Colombo Panal -OddDays_extracted_tables_english new.pdf}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,4:25,7:25,250.0,"[:Schedule {service_type: Luxury, arrival: 7:25, route_no: 01, route_type: Express Route, arrival_to_terminal: 3:45, Runing Days: Odd Days, departure: 4:25, fare_type: AC, Source: 01 Kandy - Colombo Panal -OddDays_extracted_tables_english new.pdf}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,4:25,7:25,250.0,"[:Schedule {service_type: Luxury, arrival: 7:25, route_no: 01, route_type: Express Route, arrival_to_terminal: 3:45, Runing Days: Odd Days, departure: 4:25, fare_type: AC, Source: 01 Kandy - Colombo Panal -OddDays_extracted_tables_english new.pdf}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,4:55,8:55,250.0,"[:Schedule {service_type: Luxury, arrival: 8:55, route_no: 01, route_type: Normal Route, arrival_to_terminal: 4:25, Runing Days: Odd Days, departure: 4:55, fare_type: AC, Source: 01 Kandy - Colombo Panal -OddDays_extracted_tables_english new.pdf}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,4:55,8:55,250.0,"[:Schedule {service_type: Luxury, arrival: 8:55, route_no: 01, route_type: Normal Route, arrival_to_terminal: 4:25, Runing Days: Odd Days, departure: 4:55, fare_type: AC, Source: 01 Kandy - Colombo Panal -OddDays_extracted_tables_english new.pdf}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,5:20,8:20,250.0,"[:Schedule {service_type: Luxury, arrival: 8:20, route_no: 01, route_type: Express Route, arrival_to_terminal: 4:50, Runing Days: Odd Days, departure: 5:20, fare_type: AC, Source: 01 Kandy - Colombo Panal -OddDays_extracted_tables_english new.pdf}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,5:20,8:20,250.0,"[:Schedule {service_type: Luxury, arrival: 8:20, route_no: 01, route_type: Express Route, arrival_to_terminal: 4:50, Runing Days: Odd Days, departure: 5:20, fare_type: AC, Source: 01 Kandy - Colombo Panal -OddDays_extracted_tables_english new.pdf}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,5:45,9:45,250.0,"[:Schedule {service_type: Luxury, arrival: 9:45, route_no: 01, route_type: Normal Route, arrival_to_terminal: 5:15, Runing Days: Odd Days, departure: 5:45, fare_type: AC, Source: 01 Kandy - Colombo Panal -OddDays_extracted_tables_english new.pdf}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,5:45,9:45,250.0,"[:Schedule {service_type: Luxury, arrival: 9:45, route_no: 01, route_type: Normal Route, arrival_to_terminal: 5:15, Runing Days: Odd Days, departure: 5:45, fare_type: AC, Source: 01 Kandy - Colombo Panal -OddDays_extracted_tables_english new.pdf}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,6:10,9:10,250.0,"[:Schedule {service_type: Luxury, arrival: 9:10, route_no: 01, route_type: Express Route, arrival_to_terminal: 5:40, Runing Days: Odd Days, departure: 6:10, fare_type: AC, Source: 01 Kandy - Colombo Panal -OddDays_extracted_tables_english new.pdf}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,6:10,9:10,250.0,"[:Schedule {service_type: Luxury, arrival: 9:10, route_no: 01, route_type: Express Route, arrival_to_terminal: 5:40, Runing Days: Odd Days, departure: 6:10, fare_type: AC, Source: 01 Kandy - Colombo Panal -OddDays_extracted_tables_english new.pdf}]","[:Fare {fare: 250.0, route_id: C001}]"
Colombo,Kandy,6:25,10:25,250.0,"[:Schedule {service_type: Luxury, arrival: 10:25, route_no: 01, route_type: Normal Route, arrival_to_terminal: 5:55, Runing Days: Odd Days, departure: 6:25, fare_type: AC, Source: 01 Kandy - Colombo Panal -OddDays_extracted_tables_english new.pdf}]","[:Fare {fare: 250.0, route_id: C001}]"
